Momentum Bin (GeV/c),Intersection Point,Kaon-to-Pion Ratio (%)
1-1.3,N/A,N/A
1.3-1.6,0.991131,0.00582937
1.6-1.9,0.98163,0.0213095
1.9-2.2,0.984948,0.0267339
2.2-2.5,0.987798,0.146328
2.5-2.8,0.990624,0.224005
2.8-3.1,0.992495,0.716761
3.1-3.4,1.00604,242938
3.4-3.7,1.00635,596500
3.7-4,1.01052,8240.22
4-4.3,0.99876,0.155407
4.3-4.6,0.992849,0.00168856
4.6-4.9,1.00613,3.64756
4.9-5.2,0.997258,16.8935
5.2-5.5,0.982891,0.141382
5.5-5.8,0.995213,0.144238
5.8-6.1,0.998096,19.2046
6.1-6.4,0.983633,0.407522
6.4-6.7,0.998496,20.6419
6.7-7,0.998712,22.8613
