p-bin,c1,c2,contamination
1-1.3,N/A,N/A,N/A
1.3-1.6,0.976999,1.033440,0.0000
1.6000-1.9000,0.982029,1.061648,0.0013
1.9000-2.2000,0.985655,1.073383,0.0239
2.2000-2.5000,0.988362,1.082005,0.1700
2.5000-2.8000,0.990604,1.059757,0.5987
2.8000-3.1000,0.992204,1.072473,0.7892
3.1000-3.4000,0.992592,0.915919,0.6832
3.4000-3.7000,0.993908,0.808129,1.7735
3.7000-4.0000,0.994736,1.232143,3.1190
4.0000-4.3000,0.994821,0.964490,1.8090
4.3000-4.6000,0.996361,1.021521,9.6823
4.6000-4.9000,0.996161,0.975100,3.2725
4.9000-5.2000,0.997152,1.029548,11.4314
5.2000-5.5000,0.997758,1.011708,14.5853
5.5000-5.8000,0.997378,0.953682,6.3325
5.8000-6.1000,0.998198,1.225165,13.7323
6.1000-6.4000,0.998225,0.978704,14.3259
6.4000-6.7000,0.998586,0.949294,17.0272
6.7000-7.0000,0.998137,0.974687,11.3609
7.0000-7.3000,0.998365,0.980504,9.6421
7.3000-7.6000,0.998755,0.987858,19.3916
7.6000-7.9000,N/A,N/A,N/A
7.9000-8.2000,N/A,N/A,N/A
8.2000-8.5000,N/A,N/A,N/A
8.5000-8.8000,N/A,N/A,N/A
8.8000-9.1000,N/A,N/A,N/A
9.1000-9.4000,N/A,N/A,N/A
9.4000-9.7000,N/A,N/A,N/A
9.7000-10.0000,N/A,N/A,N/A
