Momentum Bin (GeV/c),Pion Mean,Pion Sigma,Chi2 Min (Mean-5σ),Chi2 Max (Mean+5σ)
1-1.3,-0.00641281,0.954372,-4.77827,4.76545
1.3-1.6,-0.0368766,0.934887,-4.71131,4.63756
1.6-1.9,-0.0505077,0.920491,-4.65296,4.55195
1.9-2.2,-0.0586979,0.911524,-4.61632,4.49892
2.2-2.5,-0.0651979,0.920133,-4.66586,4.53547
2.5-2.8,-0.0672103,0.909247,-4.61345,4.47903
2.8-3.1,-0.0737922,0.904184,-4.59471,4.44713
3.1-3.4,-0.0812853,0.860721,-4.38489,4.22232
3.4-3.7,-0.0762465,0.838058,-4.26654,4.11404
3.7-4,-0.0711219,0.841984,-4.28104,4.1388
4-4.3,-0.0660423,0.839363,-4.26286,4.13077
4.3-4.6,-0.0741937,0.813251,-4.14045,3.99206
4.6-4.9,-0.0821852,0.731688,-3.74062,3.57625
4.9-5.2,-0.123988,0.627566,-3.26182,3.01384
5.2-5.5,-0.149337,0.561103,-2.95485,2.65618
5.5-5.8,-0.166554,0.525919,-2.79615,2.46304
5.8-6.1,-0.174126,0.52589,-2.80358,2.45533
6.1-6.4,-0.195688,0.512195,-2.75666,2.36529
6.4-6.7,-0.22202,0.516787,-2.80596,2.36192
6.7-7,-0.22489,0.491442,-2.6821,2.23232
